region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
AT31,2,1.1851145,0.33091453,5,5,5,4,1,3,7,3,5,6,9,5,5,4,6,8,8,AT50014,AT3,AT31,NA,-1.075,-0.352,-0.452,0.445,0.012,0.42295229522952293,0.43492550394390894,0.4617423573069447,0.48230326985267696,0.48373337793760973
AT22,2,0.6098981,0.33091453,10,0,1,7,4,4,6,5,9,6,6,1,0,5,7,10,10,AT50030,AT2,AT22,NA,-1.636,1.007,1.464,-2.044,0.602,0.37245724572457245,0.7326906222611744,0.6310302173528892,0.25871361839741286,0.533076858743832
AT33,2,1.3923296,0.33091453,6,9,8,4,4,3,9,9,8,7,5,4,4,5,6,5,8,AT50057,AT3,AT33,NA,1.095,0.228,2.671,-0.076,-0.031,0.6182718271827183,0.5620070113935145,0.7376745007951936,0.435501257635645,0.48013715815003766
AT31,2,0.5560615,0.33091453,6,6,6,6,3,3,6,6,5,5,6,3,3,4,6,5,2,AT50106,AT3,AT31,NA,-0.337,0.348,0.203,-1.107,-1.26,0.48937893789378945,0.5882997370727432,0.5196147729280792,0.3428853754940711,0.37735217864012716
AT32,2,0.7227953,0.33091453,6,3,8,5,4,3,10,10,10,6,8,5,5,7,8,9,9,AT50145,AT3,AT32,NA,-0.392,0.366,3.791,0.666,1.746,0.48442844284428443,0.5922436459246275,0.8366319137656829,0.5021559468199784,0.628753031696914
AT33,2,0.9926053,0.33091453,8,8,4,6,4,2,5,6,6,3,5,5,5,2,3,3,7,AT50158,AT3,AT33,NA,0.422,0.103,0.343,-0.006,-2.015,0.5576957695769577,0.5346187554776513,0.5319844495493904,0.44178943586058206,0.3142092498118257
AT12,2,0.81462234,0.33091453,8,8,8,4,2,3,6,8,7,9,9,7,6,6,8,6,7,AT50212,AT1,AT12,NA,1.529,-0.109,1.847,2.102,1.541,0.6573357335733574,0.4881682734443471,0.6648701183954763,0.6311534315486884,0.6116082629422096
AT11,2,1.3649563,0.33091453,7,8,7,4,4,3,7,5,5,6,7,3,2,5,8,9,9,AT50213,AT1,AT11,NA,0.802,0.065,0.484,-0.965,0.921,0.5918991899189919,0.5262927256792288,0.544442481003711,0.3556413941789436,0.5597557915865183
AT31,2,0.872949,0.33091453,3,4,3,3,1,1,5,0,0,8,8,8,8,8,7,8,9,AT50235,AT3,AT31,NA,-2.391,-1.553,-3.3,2.808,1.971,0.30450045004500453,0.17177914110429454,0.21010779289627143,0.6945742005030542,0.6475704608179309
AT13,2,0.6989865,0.33091453,5,5,6,4,2,3,6,6,6,6,8,6,6,6,6,6,6,AT50236,AT1,AT13,NA,-0.713,-0.24,0.85,1.264,0.608,0.4555355535553556,0.4594653812445224,0.5767803498851387,0.5558749550844412,0.5335786568537259
AT31,2,0.8320375,0.33091453,5,7,7,4,3,2,10,8,6,6,9,3,3,4,9,8,8,AT50238,AT3,AT31,NA,-0.073,-0.427,1.878,-0.816,0.566,0.5131413141314132,0.4184925503943909,0.6676091182187666,0.36902623068630974,0.5300660700844694
AT31,2,0.87345386,0.33091453,6,7,6,6,2,3,5,5,5,6,4,9,9,10,7,8,8,AT50240,AT3,AT31,NA,0.312,0.234,-0.099,3.457,2.739,0.5477947794779479,0.563321647677476,0.49293161335925073,0.7528745957599712,0.7118006188843354
AT31,2,0.9025512,0.33091453,3,5,5,4,3,2,6,3,2,3,5,0,0,0,0,7,8,AT50248,AT3,AT31,NA,-2.119,-0.601,-1.798,-3.64,-3.884,0.32898289828982896,0.3803680981595092,0.3428167520763386,0.11534315486884658,0.15789913857991136
AT32,2,0.58181804,0.33091453,8,8,9,6,4,3,5,6,3,7,9,8,7,4,8,8,3,AT50270,AT3,AT32,NA,1.645,0.566,-0.462,2.424,0.646,0.6677767776777679,0.6360648553900088,0.46085880897685105,0.6600790513833992,0.5367567115497198
AT13,2,0.69352174,0.33091453,3,8,9,6,2,3,8,10,7,2,6,2,2,2,7,0,7,AT50281,AT1,AT13,NA,-0.004,0.221,2.627,-2.008,-1.579,0.5193519351935194,0.5604732690622262,0.7337868881427814,0.2619475386273805,0.35067324579744086
AT22,2,2.3245115,0.33091453,8,8,8,6,6,3,8,5,5,7,9,6,6,0,7,7,5,AT50310,AT2,AT22,NA,1.471,0.815,0.686,1.627,-0.527,0.6521152115211521,0.6906222611744084,0.5622901572716028,0.5884836507366151,0.4386551810654846
AT33,2,0.9926053,0.33091453,4,5,5,2,1,4,5,5,5,2,4,5,5,4,4,4,7,AT50311,AT3,AT33,NA,-1.428,-0.306,-0.32,-0.057,-1.184,0.3911791179117912,0.44500438212094656,0.47340519526418096,0.43720804886812786,0.38370828803211504
