"file_path","fit_key","response_index","spec_code","spec_index","model_index"
"03_output/model_fits/best_fit_1a.rds","best_fit_1a",1,"a",1,1
"03_output/model_fits/best_fit_1b.rds","best_fit_1b",1,"b",2,2
"03_output/model_fits/best_fit_1c.rds","best_fit_1c",1,"c",3,3
"03_output/model_fits/best_fit_1n.rds","best_fit_1n",1,"n",4,4
"03_output/model_fits/best_fit_2a.rds","best_fit_2a",2,"a",1,5
"03_output/model_fits/best_fit_2b.rds","best_fit_2b",2,"b",2,6
"03_output/model_fits/best_fit_2c.rds","best_fit_2c",2,"c",3,7
"03_output/model_fits/best_fit_2n.rds","best_fit_2n",2,"n",4,8
"03_output/model_fits/best_fit_3a.rds","best_fit_3a",3,"a",1,9
"03_output/model_fits/best_fit_3b.rds","best_fit_3b",3,"b",2,10
"03_output/model_fits/best_fit_3c.rds","best_fit_3c",3,"c",3,11
"03_output/model_fits/best_fit_3n.rds","best_fit_3n",3,"n",4,12
"03_output/model_fits/best_fit_4a.rds","best_fit_4a",4,"a",1,13
"03_output/model_fits/best_fit_4b.rds","best_fit_4b",4,"b",2,14
"03_output/model_fits/best_fit_4c.rds","best_fit_4c",4,"c",3,15
"03_output/model_fits/best_fit_4n.rds","best_fit_4n",4,"n",4,16
"03_output/model_fits/best_fit_5a.rds","best_fit_5a",5,"a",1,17
"03_output/model_fits/best_fit_5b.rds","best_fit_5b",5,"b",2,18
"03_output/model_fits/best_fit_5c.rds","best_fit_5c",5,"c",3,19
"03_output/model_fits/best_fit_5n.rds","best_fit_5n",5,"n",4,20
