"factor","spec","model","n_terms","gamma_noint","gamma_int","mean_mse_noint","mean_mse_int","mse_winner","rmse_vs_direct_noint","rmse_vs_direct_int","rmse_winner","rho_noint","rho_int","pred_mad","pred_rho","aic_noint","bic_noint","kicb2_noint"
1,"a","M1 (admin)",5,5.6e-05,5.6e-05,2e-04,0.000221,"noint",0.050399,0.050462,"noint",0.2912,0.2845,0.001007,0.997,NA,NA,NA
1,"b","M2 (osm)",9,0.015441,5.6e-05,0.003512,0.000296,"int",0.045884,0.049861,"noint",0.6769,0.259,0.040014,0.1473,NA,NA,NA
1,"c","M3 (admin + osm)",8,5.6e-05,5.6e-05,0.000266,0.000288,"noint",0.04886,0.048847,"int",0.3134,0.3142,0.000111,0.9999,NA,NA,NA
2,"a","M1 (admin)",2,0.000449,0.000449,0.000452,0.000472,"noint",0.046982,0.046971,"int",0.55,0.5504,0.000181,0.9999,NA,NA,NA
2,"b","M2 (osm)",9,0.01536,0.00062,0.003482,0.000747,"int",0.046772,0.047035,"noint",0.7132,0.6551,0.035876,0.5571,NA,NA,NA
2,"c","M3 (admin + osm)",3,0.000368,0.000368,0.00041,0.00043,"noint",0.04787,0.047886,"noint",0.5557,0.5548,0.00031,0.9998,NA,NA,NA
3,"a","M1 (admin)",5,5.6e-05,5.6e-05,0.000187,0.000207,"noint",0.055103,0.05504,"int",0.3132,0.3113,0.003049,0.981,NA,NA,NA
3,"b","M2 (osm)",9,0.013954,0.000189,0.003332,0.000411,"int",0.04435,0.054546,"noint",0.7249,0.4031,0.038674,0.2724,NA,NA,NA
3,"c","M3 (admin + osm)",5,5.6e-05,5.6e-05,0.000187,0.000207,"noint",0.055103,0.05504,"int",0.3132,0.3113,0.003049,0.981,NA,NA,NA
4,"a","M1 (admin)",6,0.000744,0.000735,0.000685,0.000696,"noint",0.044471,0.044584,"noint",0.6519,0.66,0.002138,0.9936,NA,NA,NA
4,"b","M2 (osm)",10,0.011967,0.001029,0.002666,0.000911,"int",0.041138,0.044693,"noint",0.7814,0.7145,0.028881,0.7127,NA,NA,NA
4,"c","M3 (admin + osm)",8,0.000574,0.00057,0.000613,0.000627,"noint",0.046493,0.046529,"noint",0.5876,0.5864,0.000709,0.9992,NA,NA,NA
5,"a","M1 (admin)",6,0.001325,0.001311,0.001039,0.001051,"noint",0.044535,0.044644,"noint",0.7297,0.7331,0.002605,0.9939,NA,NA,NA
5,"b","M2 (osm)",10,0.014086,0.001844,0.003111,0.001344,"int",0.043492,0.043588,"noint",0.847,0.8134,0.029074,0.814,NA,NA,NA
5,"c","M3 (admin + osm)",8,0.00111,0.00111,0.000968,0.000987,"noint",0.046319,0.04632,"noint",0.6893,0.6885,0.00029,0.9998,NA,NA,NA
