"fit_key","model_index","response_index","spec_index","spec_code","term","coefficients","std.error","t.value","p.value"
"best_fit_1a",1,1,1,"a","POPDENSITY",1.81528452970194e-05,5.41844238202751e-06,3.35019624038649,0.000807543268086785
"best_fit_1a",1,1,1,"a","FEMALE_RATE",0.00901049713837268,0.000256454714861459,35.1348468802388,1.98069786920547e-270
"best_fit_1a",1,1,1,"a","TERTIARY_Y25.34",0.00126444561213184,0.000291176635208154,4.34253803100623,1.40846094518659e-05
"best_fit_1a",1,1,1,"a","ICCS0401_ROBBERY_RATE",-0.0404624903317026,0.0135919696727248,-2.97694089274635,0.00291140133680839
"best_fit_1a",1,1,1,"a","ICCS0502_THEFT_RATE",0.00059738238551531,0.000241562835378029,2.47298962433707,0.0133988032968694
"best_fit_1b",2,1,2,"b","university_count_per_1k_inhab",1.55763490853456,0.456249596587537,3.41399733870386,0.000640172010841009
"best_fit_1b",2,1,2,"b","school_count_per_1k_inhab",0.68642028390037,0.0603952927370113,11.3654600018144,6.21362750976668e-30
"best_fit_1b",2,1,2,"b","college_count_per_1k_inhab",4.14762742105812,0.955160583046017,4.34233519962821,1.40976226106754e-05
"best_fit_1b",2,1,2,"b","kindergarten_count_per_1k_inhab",0.742311446885645,0.0855013436268167,8.68186879174173,3.89318391065899e-18
"best_fit_1b",2,1,2,"b","social_facility_count_per_1k_inhab",-1.07860552086575,0.18983570806728,-5.68178416930642,1.33296810117722e-08
"best_fit_1b",2,1,2,"b","doctors_count_per_1k_inhab",0.745291192703656,0.395959893237905,1.88223909903891,0.0598035591768357
"best_fit_1b",2,1,2,"b","marketplace_count_per_1k_inhab",2.68282456290601,0.536303498523557,5.00243718396733,5.66100308698427e-07
"best_fit_1b",2,1,2,"b","social_centre_count_per_1k_inhab",5.12413267421771,2.24120247259767,2.28633188516813,0.0222348498801686
"best_fit_1b",2,1,2,"b","place_of_worship_count_per_1k_inhab",0.0308348896727007,0.013380998242302,2.30437887475547,0.0212013848093341
"best_fit_1c",3,1,3,"c","POPDENSITY",1.92404324233265e-05,5.77461677302762e-06,3.33189771366226,0.000862559529395705
"best_fit_1c",3,1,3,"c","FEMALE_RATE",0.00929979569232947,0.000303145728813026,30.6776405154809,1.13125787782062e-206
"best_fit_1c",3,1,3,"c","TERTIARY_Y25.34",0.000985449568322049,0.000326015690564963,3.02270595201823,0.00250525544887796
"best_fit_1c",3,1,3,"c","ICCS0401_ROBBERY_RATE",-0.0396498101504475,0.0142379715152143,-2.78479347342976,0.0053561826493389
"best_fit_1c",3,1,3,"c","ICCS0502_THEFT_RATE",0.000563671827495473,0.000241704971304557,2.33206551132631,0.0196972450587492
"best_fit_1c",3,1,3,"c","school_count_per_1k_inhab",0.0719377000193917,0.0295275030187937,2.43629473083466,0.0148385886555798
"best_fit_1c",3,1,3,"c","college_count_per_1k_inhab",-1.24777507139598,0.378676576582614,-3.29509441185031,0.000983886180657678
"best_fit_1c",3,1,3,"c","place_of_worship_count_per_1k_inhab",-0.021946009857477,0.00534999127699514,-4.10206460557132,4.09479894576685e-05
"best_fit_1n",4,1,4,"n","(Intercept)",0.513701633154547,0.00367519632836014,139.775290149944,0
"best_fit_2a",5,2,1,"a","FEMALE_RATE",0.0114798584124351,0.000301703041132201,38.0501912388904,8.54683370235739e-317
"best_fit_2a",5,2,1,"a","SECONDARY_Y25.34",-0.00178958950588048,0.000334689888002124,-5.34700799167594,8.94200695217671e-08
"best_fit_2b",6,2,2,"b","university_count_per_1k_inhab",1.34240332973584,0.454568602693263,2.9531369341883,0.00314562392157083
"best_fit_2b",6,2,2,"b","school_count_per_1k_inhab",0.699600312958406,0.0563280284435777,12.4201100640186,2.03281638194979e-35
"best_fit_2b",6,2,2,"b","college_count_per_1k_inhab",3.85774720426419,0.95906350018327,4.02241061569647,5.76055180927815e-05
"best_fit_2b",6,2,2,"b","kindergarten_count_per_1k_inhab",0.674717613942186,0.0876026954469516,7.70201887624298,1.33933096054911e-14
"best_fit_2b",6,2,2,"b","hospital_count_per_1k_inhab",1.18760227127818,0.514071839303697,2.31018737164591,0.0208777828870126
"best_fit_2b",6,2,2,"b","social_facility_count_per_1k_inhab",-1.13598835204979,0.187130289757489,-6.07057442983693,1.27453528241806e-09
"best_fit_2b",6,2,2,"b","doctors_count_per_1k_inhab",0.931081002429858,0.391100401513811,2.38067002443867,0.0172811840706694
"best_fit_2b",6,2,2,"b","marketplace_count_per_1k_inhab",1.80276829123479,0.596384303133943,3.02282987959511,0.002504229781959
"best_fit_2b",6,2,2,"b","social_centre_count_per_1k_inhab",6.99928821417009,2.23530701335071,3.13124245231898,0.00174068389226599
"best_fit_2c",7,2,3,"c","FEMALE_RATE",0.011483236040139,0.000295997592582574,38.7950318782933,0
"best_fit_2c",7,2,3,"c","SECONDARY_Y25.34",-0.00161248225715976,0.000338164063430156,-4.76834303681946,1.85747309599863e-06
"best_fit_2c",7,2,3,"c","doctors_count_per_1k_inhab",-0.35016976608825,0.157386923858343,-2.22489745338324,0.0260881230272233
"best_fit_2n",8,2,4,"n","(Intercept)",0.502911777520025,0.00400874536566621,125.453659847623,0
"best_fit_3a",9,3,1,"a","POPDENSITY",1.44595959728239e-05,5.15907324157732e-06,2.80275066775424,0.00506688242200371
"best_fit_3a",9,3,1,"a","FEMALE_RATE",0.0098434631584618,0.000531192960855721,18.5308614455368,1.16408342245602e-76
"best_fit_3a",9,3,1,"a","RATE_Y_LT20",-0.00392116830736847,0.00167254174763105,-2.34443673105459,0.019055843288714
"best_fit_3a",9,3,1,"a","TERTIARY_Y25.64",0.00203166247755829,0.000417545258303005,4.8657299709627,1.14035125452904e-06
"best_fit_3a",9,3,1,"a","ICCS0401_ROBBERY_RATE",-0.015611046971078,0.00892800807326538,-1.74854758675956,0.0803692530539448
"best_fit_3b",10,3,2,"b","university_count_per_1k_inhab",1.77527310524178,0.439250748237713,4.04159381028769,5.3089134695118e-05
"best_fit_3b",10,3,2,"b","school_count_per_1k_inhab",0.692400075924274,0.0528592355677945,13.0989422848584,3.33878097435064e-39
"best_fit_3b",10,3,2,"b","college_count_per_1k_inhab",4.22612738523768,0.916541896701702,4.61094839248043,4.00836048144183e-06
"best_fit_3b",10,3,2,"b","kindergarten_count_per_1k_inhab",0.709726967343403,0.0813765845032243,8.72151334042882,2.74507888129687e-18
"best_fit_3b",10,3,2,"b","social_facility_count_per_1k_inhab",-1.17403836454219,0.180439566107624,-6.50654615208912,7.68982851027276e-11
"best_fit_3b",10,3,2,"b","doctors_count_per_1k_inhab",1.05800380372383,0.368215506125177,2.87332767394146,0.00406172598276551
"best_fit_3b",10,3,2,"b","marketplace_count_per_1k_inhab",2.15078493112124,0.514055692621549,4.18395314358411,2.86483184275496e-05
"best_fit_3b",10,3,2,"b","shower_count_per_1k_inhab",0.507201558545828,0.173532897575324,2.92279772672885,0.00346901793136024
"best_fit_3b",10,3,2,"b","social_centre_count_per_1k_inhab",5.24698530880475,2.12949222875644,2.4639607686518,0.0137411150787194
"best_fit_3c",11,3,3,"c","POPDENSITY",1.44595959728239e-05,5.15907324157732e-06,2.80275066775424,0.00506688242200371
"best_fit_3c",11,3,3,"c","FEMALE_RATE",0.0098434631584618,0.000531192960855721,18.5308614455368,1.16408342245602e-76
"best_fit_3c",11,3,3,"c","RATE_Y_LT20",-0.00392116830736847,0.00167254174763105,-2.34443673105459,0.019055843288714
"best_fit_3c",11,3,3,"c","TERTIARY_Y25.64",0.00203166247755829,0.000417545258303005,4.8657299709627,1.14035125452904e-06
"best_fit_3c",11,3,3,"c","ICCS0401_ROBBERY_RATE",-0.015611046971078,0.00892800807326538,-1.74854758675956,0.0803692530539448
"best_fit_3n",12,3,4,"n","(Intercept)",0.495335582008623,0.00354234214861975,139.832788936446,0
"best_fit_4a",13,4,1,"a","POPDENSITY",1.64964261908223e-05,6.0113201560425e-06,2.74422685243944,0.00606536073859248
"best_fit_4a",13,4,1,"a","FEMALE_RATE",0.0117894083700945,0.000660473190612151,17.8499423408355,2.89334973487707e-71
"best_fit_4a",13,4,1,"a","RATE_Y60_79",-0.00607467818989969,0.00155771196569683,-3.89974419127109,9.62943743568034e-05
"best_fit_4a",13,4,1,"a","POVERTY_RATE",-0.00173997216696649,0.000527314382883773,-3.29968653130783,0.000967928786379162
"best_fit_4a",13,4,1,"a","ICCS0401_ROBBERY_RATE",-0.0296557459384332,0.0136656741224986,-2.17009023284181,0.0300000109629425
"best_fit_4a",13,4,1,"a","ICCS0502_THEFT_RATE",0.00066047469310196,0.00025039200554399,2.63776270199619,0.00834549576771296
"best_fit_4b",14,4,2,"b","university_count_per_1k_inhab",1.39004434462757,0.400984652435209,3.46657742680605,0.000527129891217504
