"response_index","response_var","model_index","spec_index","spec_code","fit_key","KICb2","FH_R2","KICb2_rank","FH_R2_rank"
1,"F1_Direct",1,1,"a","best_fit_1a",-690.1075,0.3110028,2,2
1,"F1_Direct",2,2,"b","best_fit_1b",-214.7958,-153.7834,4,4
1,"F1_Direct",3,3,"c","best_fit_1c",-703.5927,0.5030426,1,1
1,"F1_Direct",4,4,"n","best_fit_1n",-668.7716,1.332268e-15,3,3
2,"F2_Direct",5,1,"a","best_fit_2a",-671.1853,0.4261,2,2
2,"F2_Direct",6,2,"b","best_fit_2b",-216.3355,-88.58192,4,4
2,"F2_Direct",7,3,"c","best_fit_2c",-672.3859,0.4388695,1,1
2,"F2_Direct",8,4,"n","best_fit_2n",-644.907,-3.108624e-15,3,3
3,"F3_Direct",9,1,"a","best_fit_3a",-701.1967,0.2605626,1,1
3,"F3_Direct",10,2,"b","best_fit_3b",-236.9301,-58.71459,4,4
3,"F3_Direct",11,3,"c","best_fit_3c",-701.1967,0.2605626,1,1
3,"F3_Direct",12,4,"n","best_fit_3n",-674.2456,1.776357e-15,3,3
4,"F4_Direct",13,1,"a","best_fit_4a",-671.3829,0.4247755,2,2
4,"F4_Direct",14,2,"b","best_fit_4b",-272.0321,-18.27626,4,4
4,"F4_Direct",15,3,"c","best_fit_4c",-676.786,0.4396251,1,1
4,"F4_Direct",16,4,"n","best_fit_4n",-638.4858,-1.332268e-15,3,3
5,"F5_Direct",17,1,"a","best_fit_5a",-609.5499,0.4398503,2,2
5,"F5_Direct",18,2,"b","best_fit_5b",-235.8277,-14.72622,4,4
5,"F5_Direct",19,3,"c","best_fit_5c",-614.6499,0.4706934,1,1
5,"F5_Direct",20,4,"n","best_fit_5n",-573.7143,-2.220446e-15,3,3
