"fit_key","model_index","response_index","response_var","spec_index","spec_code","file_path","fit_class","formula","variance_method","mse_method","out_of_sample_domains","in_sample_domains","variance_component","coefficient_count","loglike","AIC","AICc","AICb1","AICb2","BIC","KIC","KICc","KICb1","KICb2","AdjR2","FH_R2","gamma_mean","gamma_median","gamma_sd","gamma_min","gamma_max","share_gamma_lt_0_2","share_gamma_0_2_to_0_8","share_gamma_gt_0_8","std_resid_skewness","std_resid_kurtosis","std_resid_shapiro_w","std_resid_shapiro_p","random_effects_skewness","random_effects_kurtosis","random_effects_shapiro_w","random_effects_shapiro_p"
"best_fit_1a",1,1,"F1_Direct",1,"a","03_output/model_fits/best_fit_1a.rds","step_fh; fh; emdi","F1_Direct ~ POPDENSITY + FEMALE_RATE + TERTIARY_Y25.34 + ICCS0401_ROBBERY_RATE +      ICCS0502_THEFT_RATE - 1","ml","datta-lahiri",0,233,5.575865e-05,5,355.5175,-699.0351,-703.1784,-770.1558,-701.5407,-678.3289,-693.0351,-691.7451,-758.7225,-690.1075,0.07508419,0.3110028,0.021146274495664,0.0152683030231139,0.0185846436291548,0.000616368170458171,0.119188183383022,1,0,0,-0.4750269,5.116354,0.9519114,5.357816e-07,0.1474451,8.491077,0.8702106,3.485311e-13
"best_fit_1b",2,1,"F1_Direct",2,"b","03_output/model_fits/best_fit_1b.rds","step_fh; fh; emdi","F1_Direct ~ university_count_per_1k_inhab + school_count_per_1k_inhab +      college_count_per_1k_inhab + kindergarten_count_per_1k_inhab +      social_facility_count_per_1k_inhab + doctors_count_per_1k_inhab +      marketplace_count_per_1k_inhab + social_centre_count_per_1k_inhab +      place_of_worship_count_per_1k_inhab - 1","ml","datta-lahiri",0,233,0.01544077,9,123.6617,-227.3234,-219.1131,-218.8018,-224.7161,-192.813,-217.3234,-209.1928,-208.8815,-214.7958,-6.753749,-153.7834,0.78047881516126,0.811095437162382,0.140396405784704,0.145876489819357,0.974007061435371,0.00429184549356223,0.463519313304721,0.532188841201717,-0.4285294,5.427822,0.9653322,1.899959e-05,0.110178,3.198107,0.990786,0.1475345
"best_fit_1c",3,1,"F1_Direct",3,"c","03_output/model_fits/best_fit_1c.rds","step_fh; fh; emdi","F1_Direct ~ POPDENSITY + FEMALE_RATE + TERTIARY_Y25.34 + ICCS0401_ROBBERY_RATE +      ICCS0502_THEFT_RATE + school_count_per_1k_inhab + college_count_per_1k_inhab +      place_of_worship_count_per_1k_inhab - 1","ml","datta-lahiri",0,233,5.575865e-05,8,367.6214,-717.2429,-722.0003,-812.8436,-719.6929,-686.1835,-708.2429,-705.9002,-796.7434,-703.5927,0.1307234,0.5030426,0.021146274495664,0.0152683030231139,0.0185846436291548,0.000616368170458171,0.119188183383022,1,0,0,-0.1055788,3.833895,0.9769226,0.0007471729,0.7163582,7.720278,0.8880335,4.028408e-12
"best_fit_1n",4,1,"F1_Direct",4,"n","03_output/model_fits/best_fit_1n.rds","fh; emdi","F1_Direct ~ 1","ml","datta-lahiri",0,233,0.0003678734,1,335.5137,-667.0275,-667.9599,-720.2013,-667.7315,-660.1254,-665.0275,-669.0001,-721.2414,-668.7716,0,1.332268e-15,0.116891075201989,0.0928027180993211,0.0855981501384635,0.00405256966835529,0.471671829573758,0.84549356223176,0.15450643776824,0,-0.256832,7.5395,0.9129605,2.004968e-10,0.6809329,11.91047,0.8219119,1.251151e-15
"best_fit_2a",5,2,"F2_Direct",1,"a","03_output/model_fits/best_fit_2a.rds","step_fh; fh; emdi","F2_Direct ~ FEMALE_RATE + SECONDARY_Y25.34 - 1","ml","datta-lahiri",0,233,0.0004492536,2,338.6297,-671.2593,-671.6771,-733.0603,-670.7754,-660.9062,-668.2593,-672.0871,-733.4702,-671.1853,0.1128669,0.4261,0.139586914597193,0.115326338181805,0.0984992806608443,0.0045290041678302,0.500352849770243,0.772532188841202,0.227467811158798,0,-0.4642679,5.721205,0.9513932,4.722332e-07,-0.2207414,8.944067,0.8598107,9.283871e-14
"best_fit_2b",6,2,"F2_Direct",2,"b","03_output/model_fits/best_fit_2b.rds","step_fh; fh; emdi","F2_Direct ~ university_count_per_1k_inhab + school_count_per_1k_inhab +      college_count_per_1k_inhab + kindergarten_count_per_1k_inhab +      hospital_count_per_1k_inhab + social_facility_count_per_1k_inhab +      doctors_count_per_1k_inhab + marketplace_count_per_1k_inhab +      social_centre_count_per_1k_inhab - 1","ml","datta-lahiri",0,233,0.01536038,9,124.6326,-229.2651,-220.8132,-221.1857,-226.43,-194.7548,-219.2651,-210.7187,-211.0912,-216.3355,-5.820359,-88.58192,0.781333050387471,0.816753626687002,0.14187715895484,0.134615079319926,0.971622487978174,0.00858369098712446,0.463519313304721,0.527896995708155,-0.53595449,5.078655,0.9701805,8.161022e-05,0.02399244,3.331503,0.9951707,0.6739133
"best_fit_2c",7,2,"F2_Direct",3,"c","03_output/model_fits/best_fit_2c.rds","step_fh; fh; emdi","F2_Direct ~ FEMALE_RATE + SECONDARY_Y25.34 + doctors_count_per_1k_inhab -      1","ml","datta-lahiri",0,233,0.0003678734,3,340.988,-673.976,-674.518,-734.6873,-673.6404,-660.1718,-669.976,-673.2634,-733.4328,-672.3859,0.1164581,0.4388695,0.11885028118785,0.0964504332813463,0.0869163615030588,0.00371164098358001,0.450552817470201,0.828326180257511,0.171673819742489,0,-0.5567578,6.21625,0.9405823,3.969785e-08,-0.3063401,9.602524,0.8389534,7.935644e-15
"best_fit_2n",8,2,"F2_Direct",4,"n","03_output/model_fits/best_fit_2n.rds","fh; emdi","F2_Direct ~ 1","ml","datta-lahiri",0,233,0.0008162478,1,323.8932,-643.7864,-643.5975,-700.3052,-643.9766,-636.8843,-641.7864,-644.5279,-701.2355,-644.907,0,-3.108624e-15,0.2179963252279,0.191495408272454,0.134818363975111,0.008198405234062,0.645322638709695,0.527896995708155,0.472103004291845,0,-0.6451758,6.975853,0.9349138,1.20422e-08,-0.4214643,10.109649,0.8454357,1.661799e-14
"best_fit_3a",9,3,"F3_Direct",1,"a","03_output/model_fits/best_fit_3a.rds","step_fh; fh; emdi","F3_Direct ~ POPDENSITY + FEMALE_RATE + RATE_Y_LT20 + TERTIARY_Y25.64 +      ICCS0401_ROBBERY_RATE - 1","ml","datta-lahiri",0,233,5.575865e-05,5,361.336,-710.672,-714.6502,-783.4181,-712.4506,-689.9658,-704.672,-703.3963,-772.1642,-701.1967,0.07004835,0.2605626,0.0221637478487905,0.0159449214006921,0.0195359780115089,0.00105778624872953,0.127944261970148,1,0,0,-0.6318739,4.887578,0.957329,2.10334e-06,-0.1746431,6.816314,0.9038815,4.475455e-11
"best_fit_3b",10,3,"F3_Direct",2,"b","03_output/model_fits/best_fit_3b.rds","step_fh; fh; emdi","F3_Direct ~ university_count_per_1k_inhab + school_count_per_1k_inhab +      college_count_per_1k_inhab + kindergarten_count_per_1k_inhab +      social_facility_count_per_1k_inhab + doctors_count_per_1k_inhab +      marketplace_count_per_1k_inhab + shower_count_per_1k_inhab +      social_centre_count_per_1k_inhab - 1","ml","datta-lahiri",0,233,0.01395425,9,134.8987,-249.7975,-241.5345,-243.4197,-247.0376,-215.2871,-239.7975,-231.4271,-233.3122,-236.9301,-5.055977,-58.71459,0.770346071963867,0.802178375526606,0.145762094398863,0.209488411042958,0.973486970033876,0,0.489270386266094,0.510729613733906,-0.2804408,5.170106,0.9711749,0.0001115102,0.1369746,3.379675,0.9908392,0.1506497797
"best_fit_3c",11,3,"F3_Direct",3,"c","03_output/model_fits/best_fit_3c.rds","step_fh; fh; emdi","F3_Direct ~ POPDENSITY + FEMALE_RATE + RATE_Y_LT20 + TERTIARY_Y25.64 +      ICCS0401_ROBBERY_RATE - 1","ml","datta-lahiri",0,233,5.575865e-05,5,361.336,-710.672,-714.6502,-783.4181,-712.4506,-689.9658,-704.672,-703.3963,-772.1642,-701.1967,0.07004835,0.2605626,0.0221637478487905,0.0159449214006921,0.0195359780115089,0.00105778624872953,0.127944261970148,1,0,0,-0.6318739,4.887578,0.957329,2.10334e-06,-0.1746431,6.816314,0.9038815,4.475455e-11
"best_fit_3n",12,3,"F3_Direct",4,"n","03_output/model_fits/best_fit_3n.rds","fh; emdi","F3_Direct ~ 1","ml","datta-lahiri",0,233,0.0003018262,1,338.4009,-672.8017,-674.1429,-718.5078,-673.725,-665.8997,-670.8017,-674.6635,-719.0283,-674.2456,0,1.776357e-15,0.103233335739428,0.0806370462133413,0.0779286174264928,0.00569927929824853,0.442643604569199,0.888412017167382,0.111587982832618,0,-0.1005118,7.07159,0.9110208,1.443353e-10,0.8649405,10.97774,0.8253484,1.796968e-15
"best_fit_4a",13,4,"F4_Direct",1,"a","03_output/model_fits/best_fit_4a.rds","step_fh; fh; emdi","F4_Direct ~ POPDENSITY + FEMALE_RATE + RATE_Y60_79 + POVERTY_RATE +      ICCS0401_ROBBERY_RATE + ICCS0502_THEFT_RATE - 1","ml","datta-lahiri",0,233,0.0007437476,6,345.9801,-677.9603,-676.3811,-723.0784,-677.6838,-653.803,-670.9603,-670.0802,-716.7775,-671.3829,0.159853,0.4247755,0.24484392468588,0.211624465845532,0.144329995668711,0.0188060431149868,0.712304304076214,0.459227467811159,0.540772532188841,0,-0.4394821,4.480947,0.9728793,0.0001925511,-0.8546994,6.728859,0.9095607,1.130469e-10
"best_fit_4b",14,4,"F4_Direct",2,"b","03_output/model_fits/best_fit_4b.rds","step_fh; fh; emdi","F4_Direct ~ university_count_per_1k_inhab + school_count_per_1k_inhab +      college_count_per_1k_inhab + kindergarten_count_per_1k_inhab +      library_count_per_1k_inhab + social_facility_count_per_1k_inhab +      doctors_count_per_1k_inhab + marketplace_count_per_1k_inhab +      shower_count_per_1k_inhab + social_centre_count_per_1k_inhab -      1","ml","datta-lahiri",0,233,0.01196718,10,154.1213,-286.2426,-277.4444,-276.3388,-283.1916,-248.2812,-275.2426,-266.2849,-265.1794,-272.0321,-3.787472,-18.27626,0.785560624759829,0.812000224521566,0.134490216123365,0.235705360010306,0.975513044324428,0,0.459227467811159,0.540772532188841,-0.430617827,6.13309,0.9542297,9.514847e-07,0.004381816,3.292101,0.9890198,0.0730178
"best_fit_4c",15,4,"F4_Direct",3,"c","03_output/model_fits/best_fit_4c.rds","step_fh; fh; emdi","F4_Direct ~ POPDENSITY + FEMALE_RATE + RATE_Y60_79 + POVERTY_RATE +      ICCS0401_ROBBERY_RATE + ICCS0502_THEFT_RATE + school_count_per_1k_inhab +      library_count_per_1k_inhab - 1","ml","datta-lahiri",0,233,0.0005737442,8,351.8909,-685.7818,-684.6308,-729.509,-685.0328,-654.7224,-676.7818,-676.384,-721.2622,-676.786,0.16661,0.4396251,0.204567046098342,0.171550348796696,0.12919163681823,0.0145700509066258,0.656353018431148,0.566523605150215,0.433476394849785,0,-0.3916796,5.410878,0.9656451,2.080991e-05,-0.9176496,8.062729,0.8981457,1.819588e-11
"best_fit_4n",16,4,"F4_Direct",4,"n","03_output/model_fits/best_fit_4n.rds","fh; emdi","F4_Direct ~ 1","ml","datta-lahiri",0,233,0.001294235,1,321.4183,-638.8367,-636.3803,-671.7524,-638.9669,-631.9346,-636.8367,-635.8992,-671.2713,-638.4858,0,-1.332268e-15,0.345363464703507,0.318388390500805,0.171140127189818,0.0322761349020885,0.811620621010938,0.214592274678112,0.781115879828326,0.00429184549356223,-0.3032702,5.292516,0.9492996,2.85697e-07,-0.4916697,7.960407,0.8894387,4.939603e-12
