"fit_key","model_index","response_index","response_var","spec_index","spec_code","gamma_mean","gamma_median","gamma_sd","gamma_min","gamma_max","share_gamma_lt_0_2","share_gamma_0_2_to_0_8","share_gamma_gt_0_8"
"best_fit_1a",1,1,"F1_Direct",1,"a",0.021146274495664,0.0152683030231139,0.0185846436291548,0.000616368170458171,0.119188183383022,1,0,0
"best_fit_1b",2,1,"F1_Direct",2,"b",0.78047881516126,0.811095437162382,0.140396405784704,0.145876489819357,0.974007061435371,0.00429184549356223,0.463519313304721,0.532188841201717
"best_fit_1c",3,1,"F1_Direct",3,"c",0.021146274495664,0.0152683030231139,0.0185846436291548,0.000616368170458171,0.119188183383022,1,0,0
"best_fit_1n",4,1,"F1_Direct",4,"n",0.116891075201989,0.0928027180993211,0.0855981501384635,0.00405256966835529,0.471671829573758,0.84549356223176,0.15450643776824,0
"best_fit_2a",5,2,"F2_Direct",1,"a",0.139586914597193,0.115326338181805,0.0984992806608443,0.0045290041678302,0.500352849770243,0.772532188841202,0.227467811158798,0
"best_fit_2b",6,2,"F2_Direct",2,"b",0.781333050387471,0.816753626687002,0.14187715895484,0.134615079319926,0.971622487978174,0.00858369098712446,0.463519313304721,0.527896995708155
"best_fit_2c",7,2,"F2_Direct",3,"c",0.11885028118785,0.0964504332813463,0.0869163615030588,0.00371164098358001,0.450552817470201,0.828326180257511,0.171673819742489,0
"best_fit_2n",8,2,"F2_Direct",4,"n",0.2179963252279,0.191495408272454,0.134818363975111,0.008198405234062,0.645322638709695,0.527896995708155,0.472103004291845,0
"best_fit_3a",9,3,"F3_Direct",1,"a",0.0221637478487905,0.0159449214006921,0.0195359780115089,0.00105778624872953,0.127944261970148,1,0,0
"best_fit_3b",10,3,"F3_Direct",2,"b",0.770346071963867,0.802178375526606,0.145762094398863,0.209488411042958,0.973486970033876,0,0.489270386266094,0.510729613733906
"best_fit_3c",11,3,"F3_Direct",3,"c",0.0221637478487905,0.0159449214006921,0.0195359780115089,0.00105778624872953,0.127944261970148,1,0,0
"best_fit_3n",12,3,"F3_Direct",4,"n",0.103233335739428,0.0806370462133413,0.0779286174264928,0.00569927929824853,0.442643604569199,0.888412017167382,0.111587982832618,0
"best_fit_4a",13,4,"F4_Direct",1,"a",0.24484392468588,0.211624465845532,0.144329995668711,0.0188060431149868,0.712304304076214,0.459227467811159,0.540772532188841,0
"best_fit_4b",14,4,"F4_Direct",2,"b",0.785560624759829,0.812000224521566,0.134490216123365,0.235705360010306,0.975513044324428,0,0.459227467811159,0.540772532188841
"best_fit_4c",15,4,"F4_Direct",3,"c",0.204567046098342,0.171550348796696,0.12919163681823,0.0145700509066258,0.656353018431148,0.566523605150215,0.433476394849785,0
"best_fit_4n",16,4,"F4_Direct",4,"n",0.345363464703507,0.318388390500805,0.171140127189818,0.0322761349020885,0.811620621010938,0.214592274678112,0.781115879828326,0.00429184549356223
"best_fit_5a",17,5,"F5_Direct",1,"a",0.321699825056942,0.299891581491916,0.166535636955728,0.0234038846917978,0.78724734376888,0.283261802575107,0.716738197424893,0
"best_fit_5b",18,5,"F5_Direct",2,"b",0.787439969326176,0.819974099421843,0.135679996279302,0.203075042581893,0.975214495278054,0,0.463519313304721,0.536480686695279
"best_fit_5c",19,5,"F5_Direct",3,"c",0.288920069469867,0.264177663297118,0.158183570375303,0.0196906589847694,0.756181912907081,0.386266094420601,0.613733905579399,0
"best_fit_5n",20,5,"F5_Direct",4,"n",0.421411216486848,0.412535350435069,0.182829198549814,0.0378022584607945,0.858481205044445,0.120171673819742,0.866952789699571,0.0128755364806867
