"Dimension","Model","k","Covariates"
"F1: Interpersonal trust","M1 (admin)",5,"Population density; Female share; Tertiary educ. (25–34); Robbery rate; Theft rate"
"F1: Interpersonal trust","M2 (OSM)",9,"Universities/1k; Schools/1k; Colleges/1k; Kindergartens/1k; Social facilities/1k; Doctors/1k; Marketplaces/1k; Social centres/1k; Places of worship/1k"
"F1: Interpersonal trust","M3 (admin+OSM)",8,"Population density; Female share; Tertiary educ. (25–34); Robbery rate; Theft rate; Schools/1k; Colleges/1k; Places of worship/1k"
"F2: Social relations","M1 (admin)",2,"Female share; Secondary educ. (25–34)"
"F2: Social relations","M2 (OSM)",9,"Universities/1k; Schools/1k; Colleges/1k; Kindergartens/1k; Hospitals/1k; Social facilities/1k; Doctors/1k; Marketplaces/1k; Social centres/1k"
"F2: Social relations","M3 (admin+OSM)",3,"Female share; Secondary educ. (25–34); Doctors/1k"
"F3: Openness","M1 (admin)",5,"Population density; Female share; Share aged <20; Tertiary educ. (25–64); Robbery rate"
"F3: Openness","M2 (OSM)",9,"Universities/1k; Schools/1k; Colleges/1k; Kindergartens/1k; Social facilities/1k; Doctors/1k; Marketplaces/1k; Showers/1k; Social centres/1k"
"F3: Openness","M3 (admin+OSM)",5,"Population density; Female share; Share aged <20; Tertiary educ. (25–64); Robbery rate"
"F4: Institutional trust","M1 (admin)",6,"Population density; Female share; Share aged 60–79; Poverty rate; Robbery rate; Theft rate"
"F4: Institutional trust","M2 (OSM)",10,"Universities/1k; Schools/1k; Colleges/1k; Kindergartens/1k; Libraries/1k; Social facilities/1k; Doctors/1k; Marketplaces/1k; Showers/1k; Social centres/1k"
"F4: Institutional trust","M3 (admin+OSM)",8,"Population density; Female share; Share aged 60–79; Poverty rate; Robbery rate; Theft rate; Schools/1k; Libraries/1k"
"F5: Legitimacy of institutions","M1 (admin)",6,"Population density; Female share; Share aged 60–79; Poverty rate; Robbery rate; Theft rate"
"F5: Legitimacy of institutions","M2 (OSM)",10,"Universities/1k; Schools/1k; Colleges/1k; Kindergartens/1k; Libraries/1k; Social facilities/1k; Doctors/1k; Marketplaces/1k; Showers/1k; Social centres/1k"
"F5: Legitimacy of institutions","M3 (admin+OSM)",8,"Population density; Female share; Share aged 60–79; Poverty rate; Robbery rate; Theft rate; Schools/1k; Libraries/1k"
