"Factor","Factor_label","Model","Direct_estimate","CV_direct","EBLUP","Spearman_rho","MSE_direct","MSE_EBLUP","RMSE_direct","RMSE_EBLUP","RMSE_over_Direct","RMSE_over_EBLUP","Efficiency","KICb2","FH_R2"
1,"Interpersonal trust","M0 (null)","0.512 (0.053); 0.517 [0.306–0.717]","0.130 (0.063); 0.116 [0.039–0.533]","0.514 (0.007); 0.514 [0.483–0.551]",0.942,"0.006 (0.008); 0.004 [0.000–0.090]","0.000 (0.000); 0.000 [0.000–0.000]","0.066 (0.034); 0.060 [0.020–0.301]","0.019 (0.001); 0.019 [0.016–0.020]","0.130 (0.063); 0.116 [0.039–0.533]","0.037 (0.001); 0.038 [0.030–0.040]","-0.655 (0.134); -0.675 [-0.934–-0.234]",-668.77,0
1,"Interpersonal trust","M1 (admin)","0.512 (0.053); 0.517 [0.306–0.717]","0.130 (0.063); 0.116 [0.039–0.533]","0.509 (0.022); 0.509 [0.421–0.616]",0.291,"0.006 (0.008); 0.004 [0.000–0.090]","0.000 (0.000); 0.000 [0.000–0.002]","0.066 (0.034); 0.060 [0.020–0.301]","0.014 (0.004); 0.012 [0.011–0.040]","0.130 (0.063); 0.116 [0.039–0.533]","0.027 (0.008); 0.024 [0.021–0.082]","-0.756 (0.119); -0.785 [-0.960–-0.220]",-690.11,0.311
1,"Interpersonal trust","M2 (osm)","0.512 (0.053); 0.517 [0.306–0.717]","0.130 (0.063); 0.116 [0.039–0.533]","0.506 (0.056); 0.512 [0.327–0.772]",0.677,"0.006 (0.008); 0.004 [0.000–0.090]","0.004 (0.002); 0.003 [0.000–0.014]","0.066 (0.034); 0.060 [0.020–0.301]","0.056 (0.019); 0.055 [0.020–0.119]","0.130 (0.063); 0.116 [0.039–0.533]","0.113 (0.042); 0.106 [0.039–0.285]","-0.110 (0.084); -0.088 [-0.605–-0.012]",-214.8,-153.783
1,"Interpersonal trust","M3 (admin + osm)","0.512 (0.053); 0.517 [0.306–0.717]","0.130 (0.063); 0.116 [0.039–0.533]","0.508 (0.028); 0.509 [0.364–0.624]",0.313,"0.006 (0.008); 0.004 [0.000–0.090]","0.000 (0.000); 0.000 [0.000–0.002]","0.066 (0.034); 0.060 [0.020–0.301]","0.016 (0.004); 0.014 [0.012–0.041]","0.130 (0.063); 0.116 [0.039–0.533]","0.031 (0.010); 0.028 [0.023–0.089]","-0.720 (0.127); -0.748 [-0.956–-0.211]",-703.59,0.503
2,"Social relations","M0 (null)","0.504 (0.056); 0.504 [0.286–0.721]","0.132 (0.062); 0.117 [0.039–0.514]","0.503 (0.013); 0.503 [0.438–0.559]",0.938,"0.006 (0.009); 0.003 [0.000–0.099]","0.001 (0.000); 0.001 [0.000–0.001]","0.066 (0.035); 0.059 [0.021–0.314]","0.026 (0.002); 0.027 [0.018–0.029]","0.132 (0.062); 0.117 [0.039–0.514]","0.052 (0.005); 0.053 [0.033–0.058]","-0.539 (0.151); -0.547 [-0.908–-0.168]",-644.91,0
2,"Social relations","M1 (admin)","0.504 (0.056); 0.504 [0.286–0.721]","0.132 (0.062); 0.117 [0.039–0.514]","0.500 (0.023); 0.499 [0.426–0.556]",0.55,"0.006 (0.009); 0.003 [0.000–0.099]","0.000 (0.000); 0.000 [0.000–0.001]","0.066 (0.035); 0.059 [0.021–0.314]","0.021 (0.001); 0.022 [0.016–0.023]","0.132 (0.062); 0.117 [0.039–0.514]","0.043 (0.003); 0.043 [0.031–0.050]","-0.618 (0.141); -0.635 [-0.928–-0.227]",-671.19,0.426
2,"Social relations","M2 (osm)","0.504 (0.056); 0.504 [0.286–0.721]","0.132 (0.062); 0.117 [0.039–0.514]","0.497 (0.058); 0.498 [0.292–0.752]",0.713,"0.006 (0.009); 0.003 [0.000–0.099]","0.003 (0.002); 0.003 [0.000–0.014]","0.066 (0.035); 0.059 [0.021–0.314]","0.056 (0.019); 0.054 [0.021–0.119]","0.132 (0.062); 0.117 [0.039–0.514]","0.115 (0.043); 0.107 [0.039–0.317]","-0.110 (0.086); -0.087 [-0.621–-0.013]",-216.34,-88.582
2,"Social relations","M3 (admin + osm)","0.504 (0.056); 0.504 [0.286–0.721]","0.132 (0.062); 0.117 [0.039–0.514]","0.500 (0.023); 0.498 [0.429–0.553]",0.556,"0.006 (0.009); 0.003 [0.000–0.099]","0.000 (0.000); 0.000 [0.000–0.001]","0.066 (0.035); 0.059 [0.021–0.314]","0.020 (0.001); 0.020 [0.016–0.030]","0.132 (0.062); 0.117 [0.039–0.514]","0.041 (0.004); 0.040 [0.031–0.071]","-0.635 (0.139); -0.651 [-0.934–-0.238]",-672.39,0.439
3,"Openness","M0 (null)","0.496 (0.057); 0.496 [0.298–0.761]","0.132 (0.063); 0.118 [0.039–0.511]","0.495 (0.006); 0.495 [0.475–0.527]",0.946,"0.005 (0.007); 0.003 [0.000–0.053]","0.000 (0.000); 0.000 [0.000–0.000]","0.065 (0.032); 0.059 [0.019–0.229]","0.018 (0.000); 0.018 [0.015–0.018]","0.132 (0.063); 0.118 [0.039–0.511]","0.036 (0.001); 0.036 [0.030–0.037]","-0.673 (0.131); -0.695 [-0.921–-0.241]",-674.25,0
3,"Openness","M1 (admin)","0.496 (0.057); 0.496 [0.298–0.761]","0.132 (0.063); 0.118 [0.039–0.511]","0.491 (0.025); 0.488 [0.415–0.613]",0.313,"0.005 (0.007); 0.003 [0.000–0.053]","0.000 (0.000); 0.000 [0.000–0.002]","0.065 (0.032); 0.059 [0.019–0.229]","0.013 (0.003); 0.012 [0.011–0.040]","0.132 (0.063); 0.118 [0.039–0.511]","0.027 (0.007); 0.025 [0.022–0.084]","-0.753 (0.122); -0.783 [-0.949–-0.217]",-701.2,0.261
