"response_index","scope","n_pairs","direct_sig","a_sig","b_sig","c_sig","a_spurious","b_spurious","c_spurious","direct_share_sig","a_share_sig","b_share_sig","c_share_sig","a_error_rate","b_error_rate","c_error_rate"
1,"within_country",1696,86,267,105,369,75,2,110,0.0507,0.1574,0.0619,0.2176,0.2809,0.019,0.2981
1,"between_country",25332,977,4733,1485,5664,1295,49,1470,0.0386,0.1868,0.0586,0.2236,0.2736,0.033,0.2595
2,"within_country",1696,73,52,100,52,1,1,1,0.043,0.0307,0.059,0.0307,0.0192,0.01,0.0192
2,"between_country",25332,1186,1813,1628,2400,155,25,231,0.0468,0.0716,0.0643,0.0947,0.0855,0.0154,0.0963
3,"within_country",1696,86,347,115,347,98,3,98,0.0507,0.2046,0.0678,0.2046,0.2824,0.0261,0.2824
3,"between_country",25332,1196,5945,1852,5945,1674,65,1674,0.0472,0.2347,0.0731,0.2347,0.2816,0.0351,0.2816
4,"within_country",1696,124,100,141,112,0,1,1,0.0731,0.059,0.0831,0.066,0,0.0071,0.0089
4,"between_country",25332,2039,2675,2653,3497,67,31,162,0.0805,0.1056,0.1047,0.138,0.025,0.0117,0.0463
5,"within_country",1696,133,121,158,122,0,0,0,0.0784,0.0713,0.0932,0.0719,0,0,0
5,"between_country",25332,2349,2886,3002,3508,12,53,43,0.0927,0.1139,0.1185,0.1385,0.0042,0.0177,0.0123
