"response_index","within_country","spec","n_pairs","gained_sig","lost_sig","net"
1,TRUE,"a",1696,41,0,41
1,TRUE,"b",1696,2,0,2
1,TRUE,"c",1696,70,2,68
1,FALSE,"a",25332,315,95,220
1,FALSE,"b",25332,3,2,1
1,FALSE,"c",25332,363,144,219
2,TRUE,"a",1696,1,0,1
2,TRUE,"b",1696,0,0,0
2,TRUE,"c",1696,2,0,2
2,FALSE,"a",25332,33,48,-15
2,FALSE,"b",25332,4,1,3
2,FALSE,"c",25332,57,53,4
3,TRUE,"a",1696,55,0,55
3,TRUE,"b",1696,0,0,0
3,TRUE,"c",1696,55,0,55
3,FALSE,"a",25332,395,80,315
3,FALSE,"b",25332,2,1,1
3,FALSE,"c",25332,395,80,315
4,TRUE,"a",1696,1,0,1
4,TRUE,"b",1696,1,0,1
4,TRUE,"c",1696,7,0,7
4,FALSE,"a",25332,39,32,7
4,FALSE,"b",25332,7,2,5
4,FALSE,"c",25332,54,38,16
5,TRUE,"a",1696,5,0,5
5,TRUE,"b",1696,3,0,3
5,TRUE,"c",1696,5,0,5
5,FALSE,"a",25332,22,17,5
5,FALSE,"b",25332,3,2,1
5,FALSE,"c",25332,37,21,16
